Adder,TotalPower,DynamicPower,LUT,DFF,LUTDFF,PNSR,MSE,SSIM,EP,WCE,MAE,Power,MSEO,Area,Delay,NormTPower,NormMSE,NormLatency,NormPower,NormMSEO,NormDelay,NormLUTDFF,NormArea
1Y7,9.34,9.246,557,773,1330,25.22,195.59,0.70,93.75,14.00,4.50,57,30.00,111.20,1.00,781,191,0,760,2.342,7.519,9.166,6.967
2AS,10.372,10.269,484,685,1169,9.91,6638.25,0.18,99.02,86.00,30.00,43,1281.00,85.90,0.76,867,6.473,0,573,100.000,5.714,8.057,5.382
2BY,11.501,11.387,552,871,1423,33.17,31.34,0.91,78.12,5.00,1.60,63,4.50,126.20,1.11,962,31,0,840,351,8.346,9.807,7.907
2DN,11.788,11.67,566,883,1449,40.66,5.58,0.98,25.00,1.00,0.20,72,0.20,141.70,1.28,986,5,0,960,16,9.624,9.986,8.878
2E1,8.35,8.263,530,646,1176,9.73,7548.16,0.19,99.80,65.00,32.00,43,1248.00,86.80,0.79,698,7.360,0,573,97.424,5.940,8.105,5.439
2GE,9.533,9.437,550,769,1319,8.58,9026.47,0.17,95.31,23.00,6.50,52,64.00,106.10,0.92,797,8.801,0,693,4.996,6.917,9.090,6.648
2H0,11.961,11.841,564,887,1451,37.67,11.13,0.97,25.00,3.00,0.50,72,1.20,148.30,1.33,1.000,11,0,960,94,1.2000,1.2000,9.292
2JB,9.429,9.334,536,733,1269,12.12,4037.16,0.21,97.95,38.00,15.00,48,312.00,97.10,0.87,788,3.936,0,640,24.356,6.541,8.746,6.084
2JY,10.85,10.743,517,759,1276,28.84,84.85,0.82,87.50,4.00,2.00,62,5.50,120.10,01.08,907,83,0,827,429,8.120,8.794,7.525
2KV,11.645,11.529,554,854,1408,29.74,69.09,0.85,62.50,2.00,0.80,66,1.00,130.50,1.17,974,67,0,880,78,8.797,9.704,8.177
2LJ,11.898,11.779,565,882,1447,34.64,22.32,0.94,6.25,8.00,0.50,75,4.00,159.60,1.25,995,22,0,1.000,312,9.398,9.972,1.2000
20J,11.162,11.051,546,814,1360,31.92,41.74,0.90,75.00,2.00,1.00,66,1.50,129.10,1.17,933,41,0,880,117,8.797,9.373,8.089
25S,9.639,9.542,552,777,1329,08.02,10255.81,0.11,98.15,38.00,13.00,51,232.00,112.20,0.84,806,1.2000,0,680,18.111,6.316,9.159,7.030
26Q,11.587,11.472,545,844,1389,38.45,9.48,0.97,50.00,1.00,0.50,71,0.50,138.00,1.25,969,9,0,947,39,9.398,9.573,8.647
28H,11.203,11.092,533,804,1337,18.65,886.34,0.45,90.62,10.00,3.10,62,15.00,127.60,01.06,937,864,0,827,1.171,7.970,9.214,7.995
29A,9.33,9.236,526,755,1281,18.48,922.00,0.45,96.88,18.00,8.00,52,87.00,104.70,0.92,780,899,0,693,6.792,6.917,8.828,6.560
259,11.184,11.073,532,827,1359,20.02,647.03,0.51,81.25,5.00,1.60,62,4.00,121.50,01.08,935,631,0,827,312,8.120,9.366,7.613
294,9.493,9.397,411,917,1328,6.65,14063.39,0.16,93.75,10.00,4.10,57,24.00,113.60,01.03,794,1.3713,0,760,1.874,7.744,9.152,7.118
RCA,11.159,11.048,554,864,1418,,,,,,,,,,,933,,,,,,9.773,